料理名,説明,材料,手順,カロリー,タンパク質,脂質,炭水化物,カテゴリ,画像パス
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",401,26.8,17.2,28.7,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",369,24.3,19.5,24.3,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",488,30.5,25.4,35.6,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",425,28.3,18.2,30.4,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",396,26.1,20.9,26.1,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",492,30.8,25.7,35.9,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",417,27.9,17.9,29.9,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",371,24.4,19.5,24.4,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",487,30.5,25.4,35.5,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",434,29.0,18.6,31.0,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",365,24.0,19.2,24.0,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",480,30.0,25.0,35.0,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",400,26.7,17.2,28.6,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",371,24.4,19.5,24.4,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",457,28.6,23.8,33.3,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",435,29.1,18.7,31.1,dinner,
鮭のちゃんちゃん焼き風ホイル焼き,洗い物削減！味噌バターが野菜と魚に絡む北海道の味。,"生鮭 1切れ
キャベツ 2枚
玉ねぎ 1/4個
人参 3cm
しめじ 1/4パック
バター 10g
【味噌ダレ】味噌 大さじ1、みりん 大さじ1、酒 小さじ1","1. キャベツはざく切り、玉ねぎはスライス、人参は短冊切りにする。味噌ダレは混ぜておく。
2. アルミホイルを広げ、野菜を敷き詰め、その上に鮭を乗せる。
3. 味噌ダレを全体にかけ、一番上にバターを乗せる。
4. ホイルの口をしっかり閉じ、フライパンに並べる。水100ml（分量外）を注ぎ、蓋をして中火で10〜12分蒸し焼きにする。
5. ホイルを開け、全体を混ぜながら食べる。",363,23.9,19.1,23.9,dinner,
基本のぶり大根,味が染み込んだ大根が主役。冬の定番メニュー。,"ぶり切り身 2切れ
大根 1/3本
生姜 1片
水 300ml
【A】酒 100ml
【A】醤油 大さじ3
【A】みりん 大さじ2
【A】砂糖 大さじ2","1. 大根は2cm厚さの半月切りにし、米のとぎ汁（または水）で竹串が通るまで下茹でする。
2. ぶりは一口大に切り、熱湯を回しかけて霜降りにし、冷水で洗って臭みを取る。
3. 鍋に水、【A】、スライスした生姜を入れて煮立たせる。
4. ぶりと大根を入れ、落とし蓋をして中火で20分煮込む。
5. 一度冷まして味を含ませてから、温め直して食べるのがおすすめ。",490,30.7,25.6,35.8,dinner,
豆腐ハンバーグのおろしポン酢,お肉少なめでヘルシーなのに満足感のある一品。,"鶏ひき肉 150g
木綿豆腐 150g
玉ねぎ 1/4個
パン粉 大さじ3
片栗粉 大さじ1
大根おろし 適量
ポン酢 適量
大葉 2枚","1. 木綿豆腐はキッチンペーパーに包み、レンジで2分加熱して水切りする。
2. 玉ねぎはみじん切りにし、レンジで1分加熱して冷ます。
3. ボウルにひき肉、豆腐、玉ねぎ、パン粉、片栗粉、塩コショウを入れ、粘りが出るまでよく捏ねる。
4. 小判型に成形し、油を引いたフライパンで焼く。焼き色がついたら裏返し、蓋をして弱火で5分蒸し焼きにする。
5. 皿に盛り、大葉と大根おろしを乗せ、ポン酢をかける。",402,26.8,17.2,28.7,dinner,
